"synsetid","wordid","sentenceid"
"200956405","38991","111"
"200956405","38994","111"
"200956405","41821","111"
"200956405","41869","111"
"200958334","110277","111"
"200958334","110887","111"
"200960562","39553","139"
"200962447","129942","14"
"200963570","123384","14"
"200963570","129942","14"
"200963872","113394","14"
"200964365","129954","14"
"200964365","129954","129"
"200964694","29588","14"
"200964694","29588","129"
"200965035","110328","112"
"200965542","110328","15"
"200965871","5958","112"
"200965871","34343","112"
"200966809","110328","94"
"200967098","30909","111"
"200967098","110328","111"
"200967625","17396","111"
"200967625","106083","111"
"200967625","106694","139"
"200967625","109976","139"
"200969137","115017","94"
"200969506","130876","94"
"200976487","101695","139"
"200976653","2239","139"
"200976653","105061","139"
"200976653","106626","139"
"200977336","104775","112"
"200981544","45779","14"
"200981544","124998","14"
"200981544","126994","14"
"200981814","108345","14"
"200981944","15470","112"
"200981944","15486","112"
"200983635","142137","14"
"200985464","32028","155"
"200985464","32028","156"
"200986897","124121","153"
"200986897","124121","154"
"200986897","124500","153"
"200986897","124500","154"
"200990008","123547","14"
"200990392","7108","123"
"200991385","40711","159"
"200991385","42563","159"
"200993014","146083","93"
"200993014","146083","94"
"200998399","109053","145"
"200998399","130235","145"
"200999270","130243","145"
"200999429","104029","145"
"201001643","48335","70"
"201002740","48395","139"
"201002740","119067","139"
"201002740","129777","15"
"201003049","130235","139"
"201003049","141512","139"
"201003049","141512","145"
"201003741","110624","139"
"201003885","146215","143"
"201007222","19068","93"
"201007222","19068","94"
"201007222","130896","93"
"201007222","130896","94"
"201007222","145254","93"
"201007222","145254","94"
"201007495","107729","93"
"201007495","107729","94"
"201007676","47401","93"
"201007676","47401","94"
"201009240","125258","112"
"201009240","131023","112"
"201011031","2472","112"
"201011031","8815","112"
"201011031","10183","112"
"201011031","10256","112"
"201011031","128726","112"
"201011031","128770","112"
"201012073","28749","112"
"201012073","108819","112"
"201014821","9577","112"
"201014821","131548","112"
"201015244","105490","112"
"201015244","119295","112"
"201016002","3873","112"
"201016002","10183","112"
"201016002","115291","112"
"201016778","8815","112"
"201016778","8833","112"
"201016778","80852","112"
"201017826","34941","2"
"201017826","44485","2"
"201019808","108826","15"
"201021973","123470","112"
"201022906","53254","14"
"201022906","53260","14"
"201023071","25265","139"
"201023071","83753","139"
"201023259","25265","95"
"201023259","25265","96"
"201023259","107519","95"
"201023259","107519","96"
"201027174","1805","112"
"201027174","6965","112"
"201028079","11396","170"
"201028079","11414","170"
"201028079","24633","170"
"201028640","39553","170"
"201028640","90015","170"
"201028748","19515","170"
"201028748","88438","170"
"201031256","80786","87"
"201031256","80786","88"
"201031256","103059","87"
"201031256","117512","87"
"201031256","117512","88"
"201032127","3144","87"
"201032127","3144","88"
"201032451","40084","93"
"201032451","40084","94"
"201032451","89550","93"
"201032451","89550","94"
"201033030","44988","88"
"201034312","37201","14"
"201034312","37201","129"
"201034647","35548","14"
"201034766","129950","14"
"201034766","129950","129"
"201035199","17744","124"
"201035199","18294","124"
"201035199","18294","140"
"201035530","2864","14"
"201035530","2864","129"
"201036804","23491","14"
"201036804","103650","14"
"201036804","133394","14"
"201037303","23491","157"
"201037303","23491","158"
"201037498","108469","14"
"201037498","146417","14"
"201037498","146417","129"
"201037498","146418","14"
"201037650","10469","14"
"201037650","14891","14"
"201037910","23477","15"
"201037910","33355","129"
"201037910","49485","129"
"201038666","23474","14"
"201038666","23474","129"
"201038666","23491","14"
"201038666","23491","129"
"201038666","24303","14"
"201038666","24303","129"
"201038666","141924","14"
"201038666","141924","15"
"201039162","118992","14"
"201039162","118992","129"
"201039330","119714","93"
"201039330","119714","94"
"201039330","119729","93"
"201039330","119729","94"
"201039330","119748","94"
"201041298","93309","14"
"201041954","59038","14"
"201041954","59038","129"
"201042432","108246","14"
"201042531","121814","14"
"201042531","144062","14"
"201042725","65112","155"
"201042725","65112","156"
"201043887","120161","14"
"201044114","87621","14"
"201044533","87531","14"
"201044533","87531","112"
"201044533","87979","14"
"201044533","87979","112"
"201045419","60172","155"
"201045419","60172","156"
"201045419","85699","155"
"201045419","85699","156"
"201045719","60373","155"
"201045719","60373","156"
"201046059","65666","10"
"201046059","112102","153"
"201046059","112102","154"
"201046357","142369","153"
"201046357","142369","154"
"201046587","132729","10"
"201046932","136963","157"
"201046932","136963","158"
"201046932","142509","155"
"201046932","142509","156"
"201047381","65666","155"
"201047381","65666","156"
"201047381","146017","155"
"201047381","146017","156"
"201047381","146451","155"
"201047381","146451","156"
"201047381","146863","155"
"201047381","146863","156"
"201047596","11578","112"
"201048330","14885","155"
"201048330","14885","156"
"201048330","14890","155"
"201048330","14890","156"
"201048330","14928","155"
"201048330","14928","156"
"201048569","12262","14"
"201048718","13017","155"
"201048718","13017","156"
"201048718","112102","106"
"201049470","31716","14"
"201049737","20242","145"
"201049737","23182","145"
"201049737","70259","145"
"201050165","120230","145"
"201050651","35548","14"
"201050651","142786","157"
"201050651","146788","157"
"201050896","135384","157"
"201050896","135384","158"
"201050896","142786","145"
"201051956","71302","14"
"201051956","87121","14"
"201051956","108223","14"
"201051956","108504","14"
"201051956","108504","160"
"201054186","64298","112"
"201054694","92599","106"
"201054694","124631","155"
"201054694","124631","156"
"201055829","65806","14"
"201055829","65806","145"
"201056554","19112","14"
"201061881","63116","107"
"201064799","32688","2"
"201064799","71125","2"
"201064799","80950","2"
"201064799","146092","2"
"201065456","44902","112"
