"mapid","synsetid","synsetid2","score"
"57742","114883164","114226671","100"
"57743","114883333","114226840","100"
"57744","114883529","114227036","100"
"57745","108033802","107652629","100"
"57746","109838954","109348376","100"
"57747","106898594","106566545","100"
"57748","107394906","107037790","100"
"57749","106848319","106516837","100"
"57750","107248596","106898183","100"
"57751","110961060","110401081","100"
"57752","100618576","100589728","100"
"57753","101282300","101226704","100"
"57754","109374138","108909899","100"
"57755","110572181","110032561","100"
"57756","100145705","100139828","100"
"57757","113861426","113246522","100"
"57758","105183961","104944385","100"
"57759","102300643","102236796","100"
"57760","104441316","104321045","100"
"57761","114913570","114256499","100"
"57762","105675260","105413237","100"
"57763","113948192","113331295","100"
"57764","105473767","105225613","100"
"57765","112192520","111612447","100"
"57766","112958475","112375748","100"
"57767","113590077","112994329","100"
"57768","104440059","104319806","100"
"57769","105479744","105231045","100"
"57770","105184246","104944652","100"
"57771","109327246","108867204","100"
"57772","104441587","104321316","100"
"57773","104441986","104321715","100"
"57774","104441846","104321575","100"
"57775","106764767","106434559","100"
"57776","108928826","108495796","100"
"57777","105770517","105505827","100"
"57778","104442234","104321963","100"
"57779","114965082","114305054","100"
"57780","114734495","114082255","100"
"57781","109327400","108867357","100"
"57782","110335168","109809085","100"
"57783","113528494","112936179","100"
"57784","104442571","104322300","100"
"57785","104442709","104322437","100"
"57786","104442940","104322667","100"
"57787","112285996","111705642","100"
"57788","104443055","104322782","100"
"57789","112286542","111706188","100"
"57790","112020143","111440246","100"
"57791","104443150","104322877","100"
"57792","109001549","108566338","100"
"57793","105331039","105087909","100"
"57794","104443262","104322989","100"
"57795","102151394","102087801","100"
"57796","101795534","101734116","100"
"57797","100429445","100410925","100"
"57798","104443785","104323512","100"
"57799","113396002","112805831","100"
"57800","114126975","113506596","100"
"57801","114127125","113506728","100"
"57802","101355003","101297201","100"
"57803","114583527","113935226","100"
"57804","100549050","100526407","100"
"57805","104443978","104323705","100"
"57806","107674918","107308296","100"
"57807","107702453","107335457","100"
"57808","114883707","114227214","100"
"57809","107591943","107226208","100"
"57810","109327548","108867504","100"
"57811","114883787","114227294","100"
"57812","114884069","114227576","100"
"57813","114883940","114227447","100"
"57814","114884148","114227655","100"
"57815","106836014","106504684","100"
"57816","106836194","106504864","100"
"57817","105536933","105286326","100"
"57818","101450623","101391404","100"
"57819","100985644","100941468","100"
"57820","104444337","104324064","100"
"57821","109593061","109118378","100"
"57822","113490479","112898799","100"
"57823","113490601","112898921","100"
"57824","113490332","112898652","100"
"57825","114364449","113725302","100"
"57826","102389892","102324605","100"
"57827","112172220","111592144","100"
"57828","106825222","106493655","100"
"57829","113218471","112632336","100"
"57830","109045690","108605870","100"
"57831","109328034","108867638","100"
"57832","104648451","104507672","100"
"57833","105220740","104979534","100"
"57834","104445040","104324767","100"
"57835","103285843","104325306","100"
"57836","104445390","104325117","100"
"57837","111354782","110778689","100"
"57838","111355060","110778931","100"
"57839","101540369","101480667","100"
"57840","104445579","104325661","100"
"57841","101152728","101103031","100"
"57842","106993262","106654598","100"
"57843","114375829","113735824","100"
"57844","104445697","104325779","100"
"57845","109593168","109118485","100"
"57846","104446071","104326153","100"
"57847","108602383","108189625","100"
"57848","107543333","107178045","100"
"57849","107489480","107124627","100"
