"301116118","92630","a"
"301116118","128397","a"
"301122907","362","p"
"301122907","363","p"
"301123879","91289","p"
"301124574","109408","a"
"301130733","109408","a"
"301130733","115196","a"
"301149358","75833","a"
"301165943","62568","p"
"301187503","79474","p"
"301194099","21043","p"
"301194328","34040","p"
"301194328","68654","p"
"301199083","128024","a"
"301201937","64907","a"
"301202634","134791","a"
"301211531","17512","a"
"301211531","51872","a"
"301211665","59198","a"
"301211828","64043","a"
"301211962","64043","a"
"301212867","38780","p"
"301219111","64063","a"
"301219827","64722","a"
"301225294","132158","a"
"301235439","114203","ip"
"301236842","97094","ip"
"301236964","108114","ip"
"301237433","125078","a"
"301237656","125257","ip"
"301238773","30606","ip"
"301238914","38497","ip"
"301240235","125078","a"
"301240413","113432","a"
"301240591","113432","a"
"301241065","125078","a"
"301241248","33982","a"
"301241757","113432","a"
"301241927","97069","a"
"301241927","97135","a"
"301263445","17918","a"
"301266841","116160","a"
"301271604","113498","a"
"301276150","3823","p"
"301276150","3843","a"
"301276150","92383","p"
"301276992","18531","a"
"301277426","23977","a"
"301277426","80820","a"
"301277426","82433","a"
"301277426","104394","a"
"301277426","104525","a"
"301279183","68101","ip"
"301292128","68288","p"
"301292411","7162","p"
"301292411","37561","p"
"301292411","57934","p"
"301292411","85097","p"
"301292411","131198","p"
"301292683","50037","p"
"301292683","96917","p"
"301293542","10194","p"
"301293542","68720","p"
"301293542","78539","p"
"301293542","79242","p"
"301294756","35641","ip"
"301294857","41259","ip"
"301294975","52180","a"
"301294975","127587","a"
"301295143","67928","a"
"301295946","94744","a"
"301296091","97175","a"
"301296091","103733","a"
"301296091","110944","a"
"301299484","96079","a"
"301300370","15286","a"
"301305344","131033","a"
"301306645","682","p"
"301306645","139534","p"
"301307067","29579","p"
"301307067","45787","p"
"301307571","64207","p"
"301307690","145303","p"
"301307690","145307","p"
"301308089","104664","p"
"301309220","69406","p"
"301309220","137060","p"
"301330662","112486","p"
"301335708","16244","p"
"301335708","69381","p"
"301340691","34517","a"
"301340691","132143","a"
"301340875","62906","a"
"301352320","42214","a"
"301352320","135121","a"
"301353982","125838","p"
"301353982","125839","p"
"301356143","47231","a"
"301364817","87080","a"
"301364817","122791","a"
"301370475","111765","a"
"301377488","137221","p"
"301377488","137222","p"
"301396333","94865","a"
"301400237","76370","a"
"301400464","143417","a"
"301403760","94865","a"
"301407267","111765","a"
"301407267","135750","a"
"301410606","3725","p"
"301411919","7162","p"
"301411919","77194","p"
"301414137","128334","a"
"301435891","126620","a"
"301443402","119142","p"
"301445438","113432","a"
"301445917","31734","a"
"301446240","31793","a"
"301450084","58819","p"
"301450888","109082","p"
"301462124","145970","a"
"301462461","15392","a"
"301462461","45549","a"
"301462461","144363","a"
"301462882","47382","a"
"301462882","47391","a"
"301465668","122216","p"
"301465668","129883","p"
"301470649","135750","a"
"301472790","76140","p"
"301472790","104384","p"
"301472790","125143","p"
"301472790","125209","p"
"301472790","125571","a"
"301477711","146845","a"
"301478353","40975","a"
"301478353","146844","a"
"301484342","45535","a"
"301486854","136533","a"
"301496592","133617","a"
"301497387","82974","a"
"301498594","90914","a"
"301500672","145095","a"
